cluster;consulta ou família de consultas;intenção;persona;url alvo;tipo de conteúdo;prioridade;cta principal;prova necessária
planta;apartamento 188 m2 Jardim das Perdizes;transacional;alto padrão;/comprar/188-m2/;página curada;P0;Ver unidades;fotos metragem e status
planta;apartamento 157 m2 Jardim das Perdizes;transacional;alto padrão;/comprar/157-m2/;página curada;P0;Ver unidades;fotos metragem e status
planta;apartamento 111 m2 Jardim das Perdizes;transacional;família;/comprar/111-m2/;página curada;P0;Ver unidades;fotos metragem e status
planta;apartamento 79 m2 Jardim das Perdizes;transacional;casal investidor;/comprar/79-m2/;página curada;P0;Ver unidades;fotos metragem e status
investimento;investir no Jardim das Perdizes;investigação comercial;investidor;/investir/;framework;P1;Solicitar diagnóstico;cenários sem promessa
investimento;rentabilidade aluguel Jardim das Perdizes;investigação;investidor;/investir/renda-aluguel/;observatório;P1;Receber análise;preço pedido aluguel custos e limitações
investimento;comprar apartamento para alugar Jardim das Perdizes;transacional;investidor;/investir/;guia comercial;P1;Falar com especialista;oferta atual e perfil de risco
proprietário;vender apartamento Jardim das Perdizes;captação;proprietário;/vender/;landing de captação;P0;Solicitar avaliação;comparáveis e plano de venda
proprietário;avaliar apartamento Jardim das Perdizes;captação;proprietário;/vender/avaliar-imovel-jardim-das-perdizes/;formulário;P0;Solicitar avaliação;metodologia e CRECI
proprietário;alugar meu apartamento Jardim das Perdizes;captação;proprietário;/vender/alugar/;landing de captação;P0;Solicitar plano de locação;processo e SLA
visita;visita Jardim das Perdizes apartamento;ação;comprador;/agendar-visita/;landing de visita;P0;Agendar visita;agenda real e roteiro
alerta;alerta imóveis Jardim das Perdizes;ação;comprador/locatário;/alerta-de-imoveis/;captura recorrente;P0;Criar alerta;filtros e consentimento
conteúdo;checklist visita apartamento Jardim das Perdizes;informacional/comercial;comprador;/materiais/checklist-visita/;lead magnet;P1;Baixar checklist;PDF e HTML equivalente
faq;perguntas frequentes compra Jardim das Perdizes;informacional;comprador;/faq/;FAQ hub;P1;Falar com especialista;perguntas reais do CRM
documentação;documentos comprar apartamento São Paulo;informacional;comprador;/guia/documentacao-compra/;guia;P1;Solicitar orientação;revisão profissional
mercado;relatório preço pedido Jardim das Perdizes;informacional/comercial;investidor;/observatorio/;relatório periódico;P0;Receber próxima edição;amostra mediana período metodologia
